Entry,Gene Names,Protein names,protein_symbol
O00755,WNT7A,Protein Wnt-7a,WNT7A
O00757,FBP2,"Fructose-1,6-bisphosphatase isozyme 2",FBP2
O00762,UBE2C UBCH10,Ubiquitin-conjugating enzyme E2 C,UBE2C
O00763,ACACB ACC2 ACCB,Acetyl-CoA carboxylase 2,ACACB
O00764,PDXK C21orf124 C21orf97 PKH PNK PRED79,Pyridoxal kinase,PDXK
O00767,SCD FADS5 SCD1 SCDOS,Stearoyl-CoA desaturase,SCD
O14490,DLGAP1 DAP1 GKAP,Disks large-associated protein 1,DLGAP1
O14492,SH2B2 APS,SH2B adapter protein 2,SH2B2
O14493,CLDN4 CPER CPETR1 WBSCR8,Claudin-4,CLDN4
O14494,PLPP1 LPP1 PPAP2A,Phospholipid phosphatase 1,PLPP1
O14495,PLPP3 LPP3 PPAP2B,Phospholipid phosphatase 3,PLPP3
O14497,ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,AT-rich interactive domain-containing protein 1A,ARID1A
O14503,BHLHE40 BHLHB2 DEC1 SHARP2 STRA13,Class E basic helix-loop-helix protein 40,BHLHE40
O14508,SOCS2 CIS2 SSI2 STATI2,Suppressor of cytokine signaling 2,SOCS2
O14511,NRG2 NTAK,"Pro-neuregulin-2, membrane-bound isoform",NRG2
O14512,SOCS7 NAP4 SOCS6,Suppressor of cytokine signaling 7,SOCS7
O14514,ADGRB1 BAI1,Adhesion G protein-coupled receptor B1,ADGRB1
O14519,CDK2AP1 CDKAP1 DOC1,Cyclin-dependent kinase 2-associated protein 1,CDK2AP1
O14520,AQP7 AQP7L AQP9,Aquaporin-7,AQP7
O14521,SDHD SDH4,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",SDHD
O14522,PTPRT KIAA0283,Receptor-type tyrosine-protein phosphatase T,PTPRT
O14523,C2CD2L KIAA0285 TMEM24 DLNB23,Phospholipid transfer protein C2CD2L,C2CD2L
O14524,NEMP1 KIAA0286 TMEM194 TMEM194A,Nuclear envelope integral membrane protein 1,NEMP1
O14525,ASTN1 ASTN KIAA0289,Astrotactin-1,ASTN1
O14526,FCHO1 KIAA0290,F-BAR domain only protein 1,FCHO1
O14529,CUX2 CUTL2 KIAA0293,Homeobox protein cut-like 2,CUX2
O14530,TXNDC9 APACD,Thioredoxin domain-containing protein 9,TXNDC9
O14531,DPYSL4 CRMP3 ULIP4,Dihydropyrimidinase-related protein 4,DPYSL4
O14543,SOCS3 CIS3 SSI3,Suppressor of cytokine signaling 3,SOCS3
O14544,SOCS6 CIS4 SOCS4,Suppressor of cytokine signaling 6,SOCS6
O14556,GAPDHS GAPD2 GAPDH2 GAPDS HSD-35 HSD35,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",GAPDHS
O14558,HSPB6,Heat shock protein beta-6,HSPB6
O14559,ARHGAP33 SNX26 TCGAP,Rho GTPase-activating protein 33,ARHGAP33
O14561,NDUFAB1,"Acyl carrier protein, mitochondrial",NDUFAB1
O14569,CYB561D2 101F6 LUCA12.2,Transmembrane reductase CYB561D2,CYB561D2
O14576,DYNC1I1 DNCI1 DNCIC1,Cytoplasmic dynein 1 intermediate chain 1,DYNC1I1
O14578,CIT CRIK KIAA0949 STK21,Citron Rho-interacting kinase,CIT
O14579,COPE,Coatomer subunit epsilon,COPE
O14593,RFXANK ANKRA1 RFXB,DNA-binding protein RFXANK,RFXANK
O14594,NCAN CSPG3 NEUR,Neurocan core protein,NCAN
O14595,CTDSP2 NIF2 OS4 SCP2,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2,CTDSP2
O14607,UTY KDM6C,Histone demethylase UTY,UTY
O14610,GNGT2 GNG8 GNG9 GNGT8,Guanine nucleotide-binding protein G,GNGT2
O14613,CDC42EP2 BORG1 CEP2,Cdc42 effector protein 2,CDC42EP2
O14617,AP3D1 PRO0039,AP-3 complex subunit delta-1,AP3D1
O14618,CCS,Copper chaperone for superoxide dismutase,CCS
O14625,CXCL11 ITAC SCYB11 SCYB9B,C-X-C motif chemokine 11,CXCL11
O14627,CDX4,Homeobox protein CDX-4,CDX4
O14628,ZNF195 ZNFP104,Zinc finger protein 195,ZNF195
O14633,LCE2B LEP10 SPRL1B XP5,Late cornified envelope protein 2B,LCE2B
O14638,ENPP3 PDNP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,ENPP3
O14639,ABLIM1 ABLIM KIAA0059 LIMAB1,Actin-binding LIM protein 1,ABLIM1
O14640,DVL1,Segment polarity protein dishevelled homolog DVL-1,DVL1
O14641,DVL2,Segment polarity protein dishevelled homolog DVL-2,DVL2
O14645,DNALI1,Axonemal dynein light intermediate polypeptide 1,DNALI1
O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1,CHD1
O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2,CHD2
O14649,KCNK3 TASK TASK1,Potassium channel subfamily K member 3,KCNK3
O14653,GOSR2 GS27,Golgi SNAP receptor complex member 2,GOSR2
O14654,IRS4,Insulin receptor substrate 4,IRS4
O14656,TOR1A DQ2 DYT1 TA TORA,Torsin-1A,TOR1A
O14657,TOR1B DQ1 FKSG18,Torsin-1B,TOR1B
O14662,STX16,Syntaxin-16,STX16
O14669,PRRG2 PRGP2 TMG2,Transmembrane gamma-carboxyglutamic acid protein 2,PRRG2
O14672,ADAM10 KUZ MADM,Disintegrin and metalloproteinase domain-containing protein 10,ADAM10
O14678,ABCD4 PXMP1L,Lysosomal cobalamin transporter ABCD4,ABCD4
O14681,EI24 PIG8,Etoposide-induced protein 2.4 homolog,EI24
O14682,ENC1 KLHL37 NRPB PIG10,Ectoderm-neural cortex protein 1,ENC1
O14684,PTGES MGST1L1 MPGES1 PGES PIG12,Prostaglandin E synthase,PTGES
O14686,KMT2D ALR MLL2 MLL4,Histone-lysine N-methyltransferase 2D,KMT2D
O14713,ITGB1BP1 ICAP1,Integrin beta-1-binding protein 1,ITGB1BP1
O14717,TRDMT1 DNMT2,tRNA,TRDMT1
O14727,APAF1 KIAA0413,Apoptotic protease-activating factor 1,APAF1
O14730,RIOK3 SUDD,Serine/threonine-protein kinase RIO3,RIOK3
O14732,IMPA2 IMP.18P,Inositol monophosphatase 2,IMPA2
O14733,MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4,Dual specificity mitogen-activated protein kinase kinase 7,MAP2K7
O14734,ACOT8 ACTEIII PTE1,Acyl-coenzyme A thioesterase 8,ACOT8
O14735,CDIPT PIS PIS1,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,CDIPT
O14737,PDCD5 TFAR19,Programmed cell death protein 5,PDCD5
O14744,PRMT5 HRMT1L5 IBP72 JBP1 SKB1,Protein arginine N-methyltransferase 5,PRMT5
O14745,NHERF1 NHERF SLC9A3R1,Na,NHERF1
O14746,TERT EST2 TCS1 TRT,Telomerase reverse transcriptase,TERT
O14756,HSD17B6 RODH SDR9C6,17-beta-hydroxysteroid dehydrogenase type 6,HSD17B6
O14757,CHEK1 CHK1,Serine/threonine-protein kinase Chk1,CHEK1
O14763,TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186,Tumor necrosis factor receptor superfamily member 10B,TNFRSF10B
O14764,GABRD,Gamma-aminobutyric acid receptor subunit delta,GABRD
O14770,MEIS2 MRG1,Homeobox protein Meis2,MEIS2
O14771,ZNF213 ZKSCAN21,Zinc finger protein 213,ZNF213
O14772,FPGT GFPP,Fucose-1-phosphate guanylyltransferase,FPGT
O14773,TPP1 CLN2 GIG1 UNQ267/PRO304,Tripeptidyl-peptidase 1,TPP1
O14775,GNB5,Guanine nucleotide-binding protein subunit beta-5,GNB5
O14776,TCERG1 CA150 TAF2S,Transcription elongation regulator 1,TCERG1
O14777,NDC80 HEC HEC1 KNTC2,Kinetochore protein NDC80 homolog,NDC80
O14782,KIF3C,Kinesin-like protein KIF3C,KIF3C
O14786,NRP1 NRP VEGF165R,Neuropilin-1,NRP1
O14787,TNPO2,Transportin-2,TNPO2
O14788,TNFSF11 OPGL RANKL TRANCE,Tumor necrosis factor ligand superfamily member 11,TNFSF11
O14791,APOL1 APOL,Apolipoprotein L1,APOL1
O14792,HS3ST1 3OST 3OST1,Heparan sulfate glucosamine 3-O-sulfotransferase 1,HS3ST1
O14793,MSTN GDF8,Growth/differentiation factor 8,MSTN
O14795,UNC13B UNC13,Protein unc-13 homolog B,UNC13B
O14796,SH2D1B EAT2,SH2 domain-containing protein 1B,SH2D1B
O14798,TNFRSF10C DCR1 LIT TRAILR3 TRID UNQ321/PRO366,Tumor necrosis factor receptor superfamily member 10C,TNFRSF10C
O14802,POLR3A,DNA-directed RNA polymerase III subunit RPC1,POLR3A
O14804,TAAR5 PNR,Trace amine-associated receptor 5,TAAR5
O14807,MRAS RRAS3,Ras-related protein M-Ras,MRAS
O14810,CPLX1,Complexin-1,CPLX1
O14813,PHOX2A ARIX PMX2A,Paired mesoderm homeobox protein 2A,PHOX2A
O14815,CAPN9 NCL4,Calpain-9,CAPN9
O14817,TSPAN4 NAG2 TM4SF7,Tetraspanin-4,TSPAN4
O14818,PSMA7 HSPC,Proteasome subunit alpha type-7,PSMA7
O14827,RASGRF2 GRF2,Ras-specific guanine nucleotide-releasing factor 2,RASGRF2
O14828,SCAMP3 C1orf3 PROPIN1,Secretory carrier-associated membrane protein 3,SCAMP3
O14829,PPEF1 PPEF PPP7C,Serine/threonine-protein phosphatase with EF-hands 1,PPEF1
O14830,PPEF2,Serine/threonine-protein phosphatase with EF-hands 2,PPEF2
O14832,PHYH PAHX,"Phytanoyl-CoA dioxygenase, peroxisomal",PHYH
O14836,TNFRSF13B TACI,Tumor necrosis factor receptor superfamily member 13B,TNFRSF13B
O14841,OPLAH,5-oxoprolinase,OPLAH
O14842,FFAR1 GPR40,Free fatty acid receptor 1,FFAR1
O14843,FFAR3 GPR41,Free fatty acid receptor 3,FFAR3
O14862,AIM2,Interferon-inducible protein AIM2,AIM2
O14863,SLC30A4 ZNT4,Probable proton-coupled zinc antiporter SLC30A4,SLC30A4
O14867,BACH1,Transcription regulator protein BACH1,BACH1
O14874,BCKDK,Branched-chain alpha-ketoacid dehydrogenase kinase,BCKDK
O14879,IFIT3 CIG-49 IFI60 IFIT4 ISG60,Interferon-induced protein with tetratricopeptide repeats 3,IFIT3
O14880,MGST3,"Glutathione S-transferase 3, mitochondrial",MGST3
O14893,GEMIN2 SIP1,Gem-associated protein 2,GEMIN2
O14894,TM4SF5,Transmembrane 4 L6 family member 5,TM4SF5
O14896,IRF6,Interferon regulatory factor 6,IRF6
O14901,KLF11 FKLF TIEG2,Krueppel-like factor 11,KLF11
O14904,WNT9A WNT14,Protein Wnt-9a,WNT9A
O14905,WNT9B WNT14B WNT15 UNQ6973/PRO21956,Protein Wnt-9b,WNT9B
O14907,TAX1BP3 TIP1,Tax1-binding protein 3,TAX1BP3
O14908,GIPC1 C19orf3 GIPC RGS19IP1,PDZ domain-containing protein GIPC1,GIPC1
O14910,LIN7A MALS1 VELI1,Protein lin-7 homolog A,LIN7A
O14917,PCDH17 PCDH68 PCH68,Protocadherin-17,PCDH17
O14920,IKBKB IKKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB
O14924,RGS12,Regulator of G-protein signaling 12,RGS12
O14925,TIMM23 TIM23,Mitochondrial import inner membrane translocase subunit Tim23,TIMM23
O14926,FSCN2,Fascin-2,FSCN2
O14929,HAT1 KAT1,Histone acetyltransferase type B catalytic subunit,HAT1
O14931,NCR3 1C7 LY117,Natural cytotoxicity triggering receptor 3,NCR3
O14933,UBE2L6 UBCH8,Ubiquitin/ISG15-conjugating enzyme E2 L6,UBE2L6
O14936,CASK LIN2,Peripheral plasma membrane protein CASK,CASK
O14939,PLD2,Phospholipase D2,PLD2
O14944,EREG,Proepiregulin [Cleaved into: Epiregulin,EREG
O14948,TFEC BHLHE34 TCFEC TFECL,Transcription factor EC,TFEC
O14949,UQCRQ,Cytochrome b-c1 complex subunit 8,UQCRQ
O14950,MYL12B MRLC2 MYLC2B,Myosin regulatory light chain 12B,MYL12B
O14958,CASQ2,Calsequestrin-2,CASQ2
O14960,LECT2,Leukocyte cell-derived chemotaxin-2,LECT2
O14964,HGS HRS,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS
O14965,AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6,Aurora kinase A,AURKA
O14966,RAB29 RAB7L1,Ras-related protein Rab-7L1,RAB29
O14967,CLGN,Calmegin,CLGN
O14972,VPS26C DCRA DSCR3 DSCRA,Vacuolar protein sorting-associated protein 26C,VPS26C
O14974,PPP1R12A MBS MYPT1,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A
O14975,SLC27A2 ACSVL1 FACVL1 FATP2 VLACS,Long-chain fatty acid transport protein 2,SLC27A2
O14976,GAK DNAJC26,Cyclin-G-associated kinase,GAK
O14977,AZIN1 OAZI OAZIN,Antizyme inhibitor 1,AZIN1
O14978,ZNF263 FPM315 ZKSCAN12,Zinc finger protein 263,ZNF263
O14979,HNRNPDL HNRPDL JKTBP,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL
O14980,XPO1 CRM1,Exportin-1,XPO1
O14981,BTAF1 TAF172,TATA-binding protein-associated factor 172,BTAF1
O14983,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1
O14986,PIP5K1B STM7,Phosphatidylinositol 4-phosphate 5-kinase type-1 beta,PIP5K1B
O14994,SYN3,Synapsin-3,SYN3
O15013,ARHGEF10 KIAA0294,Rho guanine nucleotide exchange factor 10,ARHGEF10
O15014,ZNF609 KIAA0295,Zinc finger protein 609,ZNF609
O15015,ZNF646 KIAA0296,Zinc finger protein 646,ZNF646
O15018,PDZD2 AIPC KIAA0300 PDZK3,PDZ domain-containing protein 2,PDZD2
O15020,SPTBN2 KIAA0302 SCA5,"Spectrin beta chain, non-erythrocytic 2",SPTBN2
O15021,MAST4 KIAA0303,Microtubule-associated serine/threonine-protein kinase 4,MAST4
O15027,SEC16A KIAA0310 SEC16 SEC16L,Protein transport protein Sec16A,SEC16A
O15031,PLXNB2 KIAA0315,Plexin-B2,PLXNB2
O15033,AREL1 KIAA0317,Apoptosis-resistant E3 ubiquitin protein ligase 1,AREL1
O15040,TECPR2 KIAA0297 KIAA0329,Tectonin beta-propeller repeat-containing protein 2,TECPR2
O15041,SEMA3E KIAA0331 SEMAH,Semaphorin-3E,SEMA3E
O15042,U2SURP KIAA0332 SR140,U2 snRNP-associated SURP motif-containing protein,U2SURP
O15047,SETD1A KIAA0339 KMT2F SET1 SET1A,Histone-lysine N-methyltransferase SETD1A,SETD1A
O15049,N4BP3 KIAA0341,NEDD4-binding protein 3,N4BP3
O15054,KDM6B JMJD3 KIAA0346,Lysine-specific demethylase 6B,KDM6B
O15055,PER2 KIAA0347,Period circadian protein homolog 2,PER2
O15056,SYNJ2 KIAA0348,Synaptojanin-2,SYNJ2
O15060,ZBTB39 KIAA0352,Zinc finger and BTB domain-containing protein 39,ZBTB39
O15061,SYNM DMN KIAA0353 SYN,Synemin,SYNM
O15062,ZBTB5 KIAA0354,Zinc finger and BTB domain-containing protein 5,ZBTB5
O15066,KIF3B KIAA0359,Kinesin-like protein KIF3B,KIF3B
O15067,PFAS KIAA0361,Phosphoribosylformylglycinamidine synthase,PFAS
O15068,MCF2L KIAA0362 OST,Guanine nucleotide exchange factor DBS,MCF2L
O15072,ADAMTS3 KIAA0366,A disintegrin and metalloproteinase with thrombospondin motifs 3,ADAMTS3
O15075,DCLK1 DCAMKL1 DCDC3A KIAA0369,Serine/threonine-protein kinase DCLK1,DCLK1
O15078,CEP290 BBS14 KIAA0373 NPHP6,Centrosomal protein of 290 kDa,CEP290
O15079,SNPH KIAA0374,Syntaphilin,SNPH
O15083,ERC2 KIAA0378,ERC protein 2,ERC2
O15084,ANKRD28 KIAA0379,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28
O15085,ARHGEF11 KIAA0380,Rho guanine nucleotide exchange factor 11,ARHGEF11
O15091,PRORP KIAA0391 MRPP3,Mitochondrial ribonuclease P catalytic subunit,PRORP
O15105,SMAD7 MADH7 MADH8,Mothers against decapentaplegic homolog 7,SMAD7
O15111,CHUK IKKA TCF16,Inhibitor of nuclear factor kappa-B kinase subunit alpha,CHUK
O15116,LSM1 CASM,U6 snRNA-associated Sm-like protein LSm1,LSM1
O15117,FYB1 FYB SLAP130,FYN-binding protein 1,FYB1
O15118,NPC1,NPC intracellular cholesterol transporter 1,NPC1
O15119,TBX3,T-box transcription factor TBX3,TBX3
O15120,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,AGPAT2
O15121,DEGS1 DES1 MLD MIG15,Sphingolipid delta,DEGS1
O15123,ANGPT2,Angiopoietin-2,ANGPT2
O15126,SCAMP1 SCAMP,Secretory carrier-associated membrane protein 1,SCAMP1
O15127,SCAMP2,Secretory carrier-associated membrane protein 2,SCAMP2
O15130,NPFF,Pro-FMRFamide-related neuropeptide FF,NPFF
O15131,KPNA5,Importin subunit alpha-6,KPNA5
O15143,ARPC1B ARC41,Actin-related protein 2/3 complex subunit 1B,ARPC1B
O15144,ARPC2 ARC34 PRO2446,Actin-related protein 2/3 complex subunit 2,ARPC2
O15145,ARPC3 ARC21,Actin-related protein 2/3 complex subunit 3,ARPC3
O15146,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase",MUSK
O15151,MDM4 MDMX,Protein Mdm4,MDM4
O15155,BET1,BET1 homolog,BET1
O15156,ZBTB7B ZBTB15 ZFP67 ZNF857B,Zinc finger and BTB domain-containing protein 7B,ZBTB7B
O15160,POLR1C POLR1E,DNA-directed RNA polymerases I and III subunit RPAC1,POLR1C
O15162,PLSCR1,Phospholipid scramblase 1,PLSCR1
O15164,TRIM24 RNF82 TIF1 TIF1A,Transcription intermediary factor 1-alpha,TRIM24
O15165,LDLRAD4 C18orf1,Low-density lipoprotein receptor class A domain-containing protein 4,LDLRAD4
O15169,AXIN1 AXIN,Axin-1,AXIN1
O15173,PGRMC2 DG6 PMBP,Membrane-associated progesterone receptor component 2,PGRMC2
O15178,TBXT T,T-box transcription factor T,TBXT
O15182,CETN3 CEN3,Centrin-3,CETN3
O15194,CTDSPL C3orf8 NIF1 NIFL SCP3 YA22,CTD small phosphatase-like protein,CTDSPL
O15195,VILL,Villin-like protein,VILL
O15197,EPHB6,Ephrin type-B receptor 6,EPHB6
O15198,SMAD9 MADH6 MADH9 SMAD8,Mothers against decapentaplegic homolog 9,SMAD9
O15204,ADAMDEC1,ADAM DEC1,ADAMDEC1
O15205,UBD FAT10,Ubiquitin D,UBD
O15209,ZBTB22 BING1 ZBTB22A ZNF297,Zinc finger and BTB domain-containing protein 22,ZBTB22
O15211,RGL2 RAB2L,Ral guanine nucleotide dissociation stimulator-like 2,RGL2
O15212,PFDN6 HKE2 PFD6,Prefoldin subunit 6,PFDN6
O15213,WDR46 BING4 C6orf11 FP221,WD repeat-containing protein 46,WDR46
O15217,GSTA4,Glutathione S-transferase A4,GSTA4
O15226,NKRF ITBA4 NRF,NF-kappa-B-repressing factor,NKRF
O15228,GNPAT DAPAT DHAPAT,Dihydroxyacetone phosphate acyltransferase,GNPAT
O15229,KMO,Kynurenine 3-monooxygenase,KMO
O15230,LAMA5 KIAA0533 KIAA1907,Laminin subunit alpha-5,LAMA5
O15231,ZNF185,Zinc finger protein 185,ZNF185
O15232,MATN3,Matrilin-3,MATN3
O15234,CASC3 MLN51,Protein CASC3,CASC3
O15239,NDUFA1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,NDUFA1
O15240,VGF,Neurosecretory protein VGF [Cleaved into: Neuroendocrine regulatory peptide-1,VGF
O15243,LEPROT LEPR OBR,Leptin receptor gene-related protein,LEPROT
O15244,SLC22A2 OCT2,Solute carrier family 22 member 2,SLC22A2
O15245,SLC22A1 OCT1,Solute carrier family 22 member 1,SLC22A1
O15247,CLIC2,Chloride intracellular channel protein 2,CLIC2
O15254,ACOX3 BRCOX PRCOX,Peroxisomal acyl-coenzyme A oxidase 3,ACOX3
O15258,RER1,Protein RER1,RER1
O15259,NPHP1 NPH1,Nephrocystin-1,NPHP1
O15260,SURF4 SURF-4,Surfeit locus protein 4,SURF4
O15263,DEFB4A DEFB102 DEFB2 DEFB4; DEFB4B,Defensin beta 4A,DEFB4A
O15264,MAPK13 PRKM13 SAPK4,Mitogen-activated protein kinase 13,MAPK13
O15265,ATXN7 SCA7,Ataxin-7,ATXN7
O15266,SHOX PHOG,Short stature homeobox protein,SHOX
O15269,SPTLC1 LCB1,Serine palmitoyltransferase 1,SPTLC1
O15270,SPTLC2 KIAA0526 LCB2,Serine palmitoyltransferase 2,SPTLC2
O15273,TCAP,Telethonin,TCAP
O15287,FANCG XRCC9,Fanconi anemia group G protein,FANCG
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT
O15296,ALOX15B,Polyunsaturated fatty acid lipoxygenase ALOX15B,ALOX15B
O15297,PPM1D WIP1,Protein phosphatase 1D,PPM1D
O15303,GRM6 GPRC1F MGLUR6,Metabotropic glutamate receptor 6,GRM6
O15304,SIVA1 SIVA,Apoptosis regulatory protein Siva,SIVA1
O15305,PMM2,Phosphomannomutase 2,PMM2
O15315,RAD51B RAD51L1 REC2,DNA repair protein RAD51 homolog 2,RAD51B
O15318,POLR3G,DNA-directed RNA polymerase III subunit RPC7,POLR3G
O15327,INPP4B,Inositol polyphosphate 4-phosphatase type II,INPP4B
O15342,ATP6V0E1 ATP6H ATP6V0E,V-type proton ATPase subunit e 1,ATP6V0E1
O15344,MID1 FXY RNF59 TRIM18 XPRF,E3 ubiquitin-protein ligase Midline-1,MID1
O15347,HMGB3 HMG2A HMG4,High mobility group protein B3,HMGB3
O15350,TP73 P73,Tumor protein p73,TP73
O15353,FOXN1 RONU WHN,Forkhead box protein N1,FOXN1
O15354,GPR37,Prosaposin receptor GPR37,GPR37
O15355,PPM1G PPM1C,Protein phosphatase 1G,PPM1G
O15357,INPPL1 SHIP2,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",INPPL1
O15360,FANCA FAA FACA FANCH,Fanconi anemia group A protein,FANCA
O15371,EIF3D EIF3S7,Eukaryotic translation initiation factor 3 subunit D,EIF3D
O15372,EIF3H EIF3S3,Eukaryotic translation initiation factor 3 subunit H,EIF3H
O15374,SLC16A4 MCT4 MCT5,Monocarboxylate transporter 5,SLC16A4
O15379,HDAC3,Histone deacetylase 3,HDAC3
O15381,NVL NVL2,Nuclear valosin-containing protein-like,NVL
O15382,BCAT2 BCATM BCT2 ECA40,"Branched-chain-amino-acid aminotransferase, mitochondrial",BCAT2
O15389,SIGLEC5 CD33L2 OBBP2,Sialic acid-binding Ig-like lectin 5,SIGLEC5
O15391,YY2 ZNF631,Transcription factor YY2,YY2
O15392,BIRC5 API4 IAP4,Baculoviral IAP repeat-containing protein 5,BIRC5
O15393,TMPRSS2 PRSS10,Transmembrane protease serine 2,TMPRSS2
O15394,NCAM2 NCAM21,Neural cell adhesion molecule 2,NCAM2
O15397,IPO8 RANBP8,Importin-8,IPO8
O15399,GRIN2D GluN2D NMDAR2D,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D
O15400,STX7,Syntaxin-7,STX7
O15405,TOX3 CAGF9 TNRC9,TOX high mobility group box family member 3,TOX3
O15409,FOXP2 CAGH44 TNRC10,Forkhead box protein P2,FOXP2
O15427,SLC16A3 MCT3 MCT4,Monocarboxylate transporter 4,SLC16A3
O15431,SLC31A1 COPT1 CTR1,High affinity copper uptake protein 1,SLC31A1
O15432,SLC31A2 COPT2 CTR2,Protein SLC31A2,SLC31A2
O15438,ABCC3 CMOAT2 MLP2 MRP3,ATP-binding cassette sub-family C member 3,ABCC3
O15439,ABCC4 MOATB MRP4,ATP-binding cassette sub-family C member 4,ABCC4
O15440,ABCC5 MRP5,ATP-binding cassette sub-family C member 5,ABCC5
O15444,CCL25 SCYA25 TECK,C-C motif chemokine 25,CCL25
O15446,POLR1G ASE1 CAST CD3EAP PAF49,DNA-directed RNA polymerase I subunit RPA34,POLR1G
O15455,TLR3,Toll-like receptor 3,TLR3
O15457,MSH4,MutS protein homolog 4,MSH4
O15460,P4HA2 UNQ290/PRO330,Prolyl 4-hydroxylase subunit alpha-2,P4HA2
O15466,ST8SIA5 SIAT8E,"Alpha-2,8-sialyltransferase 8E",ST8SIA5
O15467,CCL16 ILINCK NCC4 SCYA16,C-C motif chemokine 16,CCL16
O15479,MAGEB2,Melanoma-associated antigen B2,MAGEB2
O15481,MAGEB4,Melanoma-associated antigen B4,MAGEB4
O15484,CAPN5 NCL3,Calpain-5,CAPN5
O15488,GYG2,Glycogenin-2,GYG2
O15492,RGS16 RGSR,Regulator of G-protein signaling 16,RGS16
O15496,PLA2G10,Group 10 secretory phospholipase A2,PLA2G10
O15498,YKT6,Synaptobrevin homolog YKT6,YKT6
O15499,GSC2 GSCL,Homeobox protein goosecoid-2,GSC2
O15503,INSIG1,Insulin-induced gene 1 protein,INSIG1
O15504,NUP42 CG1 NUPL2,Nucleoporin NUP42,NUP42
O15511,ARPC5 ARC16,Actin-related protein 2/3 complex subunit 5,ARPC5
O15514,POLR2D,DNA-directed RNA polymerase II subunit RPB4,POLR2D
O15516,CLOCK BHLHE8 KIAA0334,Circadian locomoter output cycles protein kaput,CLOCK
O15519,CFLAR CASH CASP8AP1 CLARP MRIT,CASP8 and FADD-like apoptosis regulator,CFLAR
O15520,FGF10,Fibroblast growth factor 10,FGF10
O15522,NKX2-8 NKX-2.8 NKX2G NKX2H,Homeobox protein Nkx-2.8,NKX2-8
O15523,DDX3Y DBY,ATP-dependent RNA helicase DDX3Y,DDX3Y
O15524,SOCS1 SSI1 TIP3,Suppressor of cytokine signaling 1,SOCS1
O15525,MAFG,Transcription factor MafG,MAFG
O15527,OGG1 MMH MUTM OGH1,N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase,OGG1
O15528,CYP27B1 CYP1ALPHA CYP27B,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",CYP27B1
O15529,GPR42 GPR42P,G-protein coupled receptor 42,GPR42
O15530,PDPK1 PDK1,3-phosphoinositide-dependent protein kinase 1,PDPK1
O15533,TAPBP NGS17 TAPA,Tapasin,TAPBP
O15534,PER1 KIAA0482 PER RIGUI,Period circadian protein homolog 1,PER1
O15535,ZSCAN9 ZNF193 PIG12,Zinc finger and SCAN domain-containing protein 9,ZSCAN9
O15537,RS1 XLRS1,Retinoschisin,RS1
O15540,FABP7 BLBP FABPB MRG,"Fatty acid-binding protein, brain",FABP7
O15541,RNF113A RNF113 ZNF183,E3 ubiquitin-protein ligase RNF113A,RNF113A
O15547,P2RX6 P2RXL1 P2X6,P2X purinoceptor 6,P2RX6
O15550,KDM6A UTX,Lysine-specific demethylase 6A,KDM6A
O15551,CLDN3 C7orf1 CPETR2,Claudin-3,CLDN3
O15552,FFAR2 FFA2 GPCR43 GPR43,Free fatty acid receptor 2,FFAR2
O15553,MEFV MEF TRIM20,Pyrin,MEFV
O15554,KCNN4 IK1 IKCA1 KCA4 SK4,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4
O42043,ERVK-18,Endogenous retrovirus group K member 18 Env polyprotein,ERVK-18
O43143,DHX15 DBP1 DDX15,ATP-dependent RNA helicase DHX15,DHX15
O43147,SGSM2 KIAA0397 RUTBC1,Small G protein signaling modulator 2,SGSM2
O43148,RNMT KIAA0398,mRNA cap guanine-N7 methyltransferase,RNMT
